Year,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+
1974,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1975,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1976,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1977,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1978,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1979,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1980,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1981,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1982,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1983,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1984,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1985,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1986,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1987,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1988,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1989,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1990,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1991,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1992,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1993,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1994,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1995,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
1996,72.72070111,92.65585149,113.6832047,132.972055,149.0055479,167.9405779
