"Year","Month","SST"
"1",1975,"Jan",5.55613660812378
"2",1975,"Feb",4.9034743309021
"3",1975,"Mar",4.94628810882568
"4",1975,"Apr",5.50680255889893
"5",1975,"May",6.75891733169556
"6",1975,"Jun",8.10872459411621
"7",1975,"Jul",10.7711524963379
"8",1975,"Aug",11.5135526657104
"9",1975,"Sep",11.3199291229248
"10",1975,"Oct",9.74292182922363
"11",1975,"Nov",7.3766622543335
"12",1975,"Dec",6.17794036865234
"13",1976,"Jan",5.47419786453247
"14",1976,"Feb",5.43011951446533
"15",1976,"Mar",4.9540114402771
"16",1976,"Apr",5.39892196655273
"17",1976,"May",6.56502676010132
"18",1976,"Jun",9.15960121154785
"19",1976,"Jul",11.6613206863403
"20",1976,"Aug",12.548303604126
"21",1976,"Sep",11.5894298553467
"22",1976,"Oct",9.82731437683105
"23",1976,"Nov",8.31147956848145
"24",1976,"Dec",7.69266033172607
"25",1977,"Jan",6.69584131240845
"26",1977,"Feb",6.72160720825195
"27",1977,"Mar",6.060959815979
"28",1977,"Apr",6.17512464523315
"29",1977,"May",7.95454359054565
"30",1977,"Jun",10.3099851608276
"31",1977,"Jul",11.8686695098877
"32",1977,"Aug",13.1011304855347
"33",1977,"Sep",12.8678150177002
"34",1977,"Oct",10.6523351669312
"35",1977,"Nov",7.81419897079468
"36",1977,"Dec",6.35808753967285
"37",1978,"Jan",6.15067768096924
"38",1978,"Feb",5.91367816925049
"39",1978,"Mar",5.86755084991455
"40",1978,"Apr",6.50753307342529
"41",1978,"May",8.13252544403076
"42",1978,"Jun",10.3356351852417
"43",1978,"Jul",11.4727258682251
"44",1978,"Aug",13.0754528045654
"45",1978,"Sep",12.5635347366333
"46",1978,"Oct",10.6172819137573
"47",1978,"Nov",8.27853775024414
"48",1978,"Dec",7.28713512420654
"49",1979,"Jan",5.94642210006714
"50",1979,"Feb",5.3907904624939
"51",1979,"Mar",5.58515214920044
"52",1979,"Apr",6.49544620513916
"53",1979,"May",7.91231298446655
"54",1979,"Jun",9.85019207000732
"55",1979,"Jul",12.1335020065308
"56",1979,"Aug",13.6717777252197
"57",1979,"Sep",13.4153070449829
"58",1979,"Oct",11.0999193191528
"59",1979,"Nov",9.26905250549316
"60",1979,"Dec",7.39067411422729
"61",1980,"Jan",6.20440721511841
"62",1980,"Feb",5.757493019104
"63",1980,"Mar",5.87695264816284
"64",1980,"Apr",6.33565855026245
"65",1980,"May",7.69918632507324
"66",1980,"Jun",9.70457172393799
"67",1980,"Jul",11.914737701416
"68",1980,"Aug",12.3891801834106
"69",1980,"Sep",11.579005241394
"70",1980,"Oct",10.3107690811157
"71",1980,"Nov",8.76348304748535
"72",1980,"Dec",7.21103715896606
"73",1981,"Jan",6.52003574371338
"74",1981,"Feb",6.32129764556885
"75",1981,"Mar",6.49972867965698
"76",1981,"Apr",6.72325277328491
"77",1981,"May",8.62146854400635
"78",1981,"Jun",10.7861080169678
"79",1981,"Jul",12.3068561553955
"80",1981,"Aug",13.3811826705933
"81",1981,"Sep",12.668906211853
"82",1981,"Oct",10.6208410263062
"83",1981,"Nov",8.94634628295898
"84",1981,"Dec",7.42279481887817
"85",1982,"Jan",6.33266639709473
"86",1982,"Feb",5.7458758354187
"87",1982,"Mar",5.32348680496216
"88",1982,"Apr",5.61276197433472
"89",1982,"May",6.92225122451782
"90",1982,"Jun",9.44704437255859
"91",1982,"Jul",10.9758491516113
"92",1982,"Aug",12.4242429733276
"93",1982,"Sep",11.9077301025391
"94",1982,"Oct",10.486701965332
"95",1982,"Nov",8.22477722167969
"96",1982,"Dec",7.37658452987671
"97",1983,"Jan",6.73824739456177
"98",1983,"Feb",6.56930828094482
"99",1983,"Mar",6.95625782012939
"100",1983,"Apr",7.45339822769165
"101",1983,"May",8.88715362548828
"102",1983,"Jun",11.0989284515381
"103",1983,"Jul",13.0869979858398
"104",1983,"Aug",14.1463241577148
"105",1983,"Sep",12.5600891113281
"106",1983,"Oct",10.4739551544189
"107",1983,"Nov",8.73326110839844
"108",1983,"Dec",7.92079734802246
"109",1984,"Jan",6.93839693069458
